anzsic06,Area,year,geo_count,ec_count
A012,A123800,2000,0,0
A012,A124100,2000,3,0
A012,A124200,2000,0,6
A012,A124300,2000,0,0
A012,A124500,2000,0,0
A012,A124700,2000,3,9
A012,A125100,2000,3,0
A012,A125700,2000,0,0
A012,A127600,2000,3,0
A012,A128000,2000,0,0
A012,A128400,2000,0,0
A012,A128900,2000,3,9
A012,A129800,2000,0,0
A012,A130000,2000,6,0
A012,A131100,2000,3,0
A012,A131500,2000,0,0
A012,A132200,2000,0,0
A012,A135600,2000,0,0
A012,A136500,2000,0,0
A012,A136900,2000,3,0
A012,A137800,2000,0,0
A012,A138300,2000,0,0
A012,A140300,2000,0,0
A012,A141300,2000,0,0
A012,A142200,2000,3,0
A012,A145200,2000,3,0
A012,A145400,2000,3,21
A012,A145600,2000,3,0
A012,A146100,2000,0,6
A012,A146200,2000,0,0
A012,A146800,2000,3,3
A012,A146900,2000,0,0
A012,A147500,2000,3,0
A012,A147900,2000,12,9
A012,A148100,2000,3,0
A012,A148200,2000,18,30
A012,A148500,2000,6,3
A012,A148600,2000,6,6
A012,A148700,2000,0,0
A012,A148900,2000,3,0
A012,A149400,2000,0,9
A012,A149500,2000,0,0
A012,A149900,2000,9,9
A012,A150100,2000,0,0
A012,A150200,2000,0,0
A012,A150300,2000,6,3
A012,A150800,2000,3,0
A012,A150900,2000,6,6
A012,A151000,2000,6,0
A012,A151100,2000,0,0
A012,A151200,2000,3,0
A012,A151700,2000,0,0
A012,A151800,2000,3,3
A012,A151900,2000,0,0
A012,A152100,2000,3,0
A012,A152800,2000,6,9
A012,A153000,2000,3,0
A012,A153300,2000,0,0
A012,A153400,2000,0,0
A012,A153800,2000,0,0
A012,A153900,2000,3,0
A012,A154700,2000,3,0
A012,A155500,2000,6,9
A012,A156100,2000,3,0
A012,A156700,2000,0,0
A012,A157100,2000,6,0
A012,A157200,2000,3,3
A012,A157400,2000,0,0
A012,A158300,2000,0,0
A012,A159200,2000,0,0
A012,A159600,2000,3,6
A012,A159800,2000,15,15
A012,A159900,2000,3,15
A012,A161400,2000,18,50
A012,A161600,2000,6,3
A012,A162300,2000,0,0
A012,A162400,2000,21,60
A012,A162500,2000,3,9
A012,A162600,2000,0,0
A012,A162700,2000,0,0
A012,A162900,2000,6,9
A012,A163100,2000,3,0
A012,A163200,2000,3,3
A012,A163400,2000,6,6
A012,A163800,2000,18,45
A012,A164300,2000,12,21
A012,A164400,2000,0,0
A012,A164600,2000,33,45
A012,A164700,2000,6,3
A012,A164800,2000,3,0
A012,A164900,2000,6,75
A012,A165000,2000,48,350
A012,A165100,2000,15,25
A012,A165200,2000,3,15
A012,A165300,2000,12,9
A012,A165400,2000,3,18
A012,A165500,2000,9,9
A012,A165700,2000,6,30
A012,A165800,2000,0,0
A012,A165900,2000,6,25
A012,A166000,2000,6,3
A012,A166100,2000,3,6
A012,A166200,2000,15,75
A012,A166300,2000,21,120
A012,A166400,2000,0,0
A012,A166500,2000,3,0
A012,A166900,2000,0,0
A012,A167100,2000,0,0
A012,A167400,2000,3,0
A012,A168000,2000,0,0
A012,A168100,2000,0,0
A012,A168300,2000,0,0
A012,A168500,2000,0,0
A012,A168600,2000,3,0
A012,A168700,2000,0,9
A012,A169000,2000,3,0
A012,A169100,2000,0,0
A012,A169300,2000,3,3
A012,A169400,2000,0,3
A012,A169500,2000,6,0
A012,A169700,2000,21,75
A012,A169800,2000,0,0
A012,A169900,2000,12,120
A012,A170000,2000,3,3
A012,A170100,2000,9,18
A012,A170200,2000,9,0
A012,A170300,2000,3,0
A012,A170400,2000,3,0
A012,A170500,2000,0,3
A012,A170600,2000,21,460
A012,A170700,2000,0,0
A012,A170800,2000,3,9
A012,A170900,2000,3,0
A012,A171200,2000,0,0
A012,A171300,2000,6,6
A012,A171400,2000,3,0
A012,A171500,2000,0,0
A012,A171700,2000,0,6
A012,A172000,2000,3,0
A012,A172200,2000,0,0
A012,A172300,2000,3,6
A012,A172400,2000,0,3
A012,A172600,2000,3,0
A012,A172800,2000,0,0
A012,A172900,2000,0,0
A012,A173000,2000,6,15
A012,A173200,2000,6,3
A012,A173300,2000,9,0
A012,A173400,2000,6,21
A012,A173500,2000,0,0
A012,A173700,2000,6,18
A012,A173900,2000,3,12
A012,A174000,2000,3,150
A012,A174200,2000,3,0
A012,A174400,2000,0,0
A012,A174500,2000,3,0
A012,A174600,2000,3,0
A012,A174700,2000,0,0
A012,A174800,2000,6,35
A012,A174900,2000,0,0
A012,A175200,2000,0,0
A012,A175500,2000,3,0
A012,A177000,2000,0,0
A012,A178900,2000,3,9
A012,A179200,2000,0,0
A012,A179700,2000,0,0
A012,A180800,2000,0,0
A012,A181100,2000,0,3
A012,A181500,2000,9,21
A012,A181600,2000,6,0
A012,A181700,2000,3,3
A012,A181800,2000,6,45
A012,A181900,2000,3,0
A012,A182000,2000,6,0
A012,A182300,2000,3,9
A012,A182500,2000,3,0
A012,A182700,2000,3,0
A012,A182800,2000,0,0
A012,A183100,2000,0,9
A012,A183300,2000,0,0
A012,A183500,2000,3,150
A012,A184500,2000,0,0
A012,A184600,2000,3,3
A012,A184900,2000,3,0
A012,A185400,2000,0,0
A012,A185700,2000,3,0
A012,A185800,2000,0,0
A012,A185900,2000,0,0
A012,A186000,2000,3,0
A012,A186700,2000,3,0
A012,A187300,2000,3,6
A012,A187700,2000,0,0
A012,A189600,2000,0,6
A012,A189700,2000,0,0
A012,A190100,2000,0,0
A012,A190200,2000,3,0
A012,A190300,2000,3,6
A012,A190400,2000,3,0
A012,A190500,2000,9,6
A012,A190600,2000,12,25
A012,A190900,2000,3,3
A012,A191000,2000,0,3
A012,A191100,2000,3,3
A012,A191200,2000,6,3
A012,A191300,2000,0,3
A012,A191400,2000,3,0
A012,A191500,2000,0,0
A012,A191700,2000,3,0
A012,A191800,2000,6,0
A012,A191900,2000,0,0
A012,A192000,2000,6,15
A012,A192300,2000,3,12
A012,A192500,2000,3,0
A012,A192600,2000,3,9
A012,A193000,2000,3,0
A012,A193500,2000,0,0
A012,A193800,2000,3,0
A012,A194100,2000,3,0
A012,A194600,2000,0,0
A012,A194800,2000,0,0
A012,A195200,2000,3,0
A012,A195300,2000,3,0
A012,A196100,2000,3,15
A012,A196300,2000,0,0
A012,A196500,2000,0,6
A012,A197700,2000,0,0
A012,A198200,2000,3,6
A012,A201800,2000,6,6
A012,A201900,2000,0,0
A012,A202000,2000,3,0
A012,A202100,2000,9,3
A012,A202200,2000,6,3
A012,A202300,2000,9,3
A012,A202400,2000,9,55
A012,A202500,2000,3,15
A012,A202700,2000,0,0
A012,A202800,2000,3,0
A012,A203100,2000,3,0
A012,A203200,2000,0,0
A012,A203400,2000,6,15
A012,A203500,2000,0,9
